run_id,Acidobacteria,Actinobacteria,Bacteroidetes,Candidatus_Cloacimonetes,Candidatus_Melainabacteria,Chlamydiae,Chloroflexi,Cyanobacteria,Elusimicrobia,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Lentisphaerae,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Unassigned,Verrucomicrobia,phenotype
SRR5983357,0.000322789,0.068216053,0.505272219,0,0,0,0.000215193,0.000215193,0,0.000107596,0.21250269,0.000322789,0.000215193,0.000107596,0.000107596,0.000107596,0.074671831,0,0.000107596,0,0.130083925,0.007424145,1
SRR5983358,0,0.003683241,0.554525125,6.58E-05,0,0,0,6.58E-05,0,0,0.130426204,6.58E-05,0,0,0,0,0.000328861,6.58E-05,0,0,0.310707708,0,1
SRR5983359,0,0.009870225,0.382197039,0,0,0,0,0,0,0.000182782,0.227380735,9.14E-05,0.000182782,9.14E-05,0,0,0.068451837,0,0,0.000182782,0.258270883,0.053006763,0
SRR5983360,0.000108891,0.004900093,0.625524038,0,5.44E-05,0,0.000163336,0.029291664,0,0.000108891,0.181140088,0.000653346,0,0,0.000326673,0.000272227,0.042794142,0.000326673,0.000272227,0.000108891,0.106386454,0.007404584,1
SRR5983361,0,0.026795284,0.352625938,0,0,0,0.000267953,0,0,0.000267953,0.479903537,0.001339764,0,0,0.000267953,0,0.028135048,0,0,0,0.109860665,0.000535906,1
SRR5983362,0,0.013767519,0.384006595,0,0,0,0.000247321,0.000329761,0,8.24E-05,0.448062655,4.12E-05,0,0,0,0,0.013149217,0,0,0,0.138994229,0.001071723,1
SRR5983363,5.36E-05,0.02905543,0.263911225,0,0,0,0.000107216,0.000160823,0,5.36E-05,0.582395197,0.000107216,0,0,5.36E-05,0,0.032218291,0,0,0,0.089096172,0.00268039,0
SRR5983364,0,0.00297619,0.393849206,0,0,0,0.000496032,0,0,0,0.285714286,0.143353175,0,0,0,0,0.061507937,0,0,0,0.112103175,0,1
SRR5983365,0,0.00580222,0.457366297,0,0,0,0,0,0,0,0.292633703,0,0,0,0,0,0.007315843,0,0,0.00025227,0.222250252,0.014379415,1
SRR5983366,0.001311475,0.009180328,0.546229508,0,0,0,0,0.000655738,0,0.001311475,0.293770492,0,0,0,0,0,0.037377049,0,0,0,0.09442623,0.015081967,0
SRR5983367,0.000147348,0.003290766,0.483300589,0,0,0,0,9.82E-05,0,0,0.187671906,0.000196464,4.91E-05,0,0,0,0.051817289,9.82E-05,0,0.000638507,0.27018664,0.002504912,1
SRR5983368,0,0.004846939,0.730952381,0,0,0,0,0,0,0.000255102,0.150340136,0.024064626,8.50E-05,0,0,0,0.025595238,8.50E-05,0,0,0.06335034,0.00042517,1
SRR5983369,0.000201816,0.013874874,0.409283552,0,0,0,5.05E-05,0.000504541,0,0.000151362,0.388446014,0.000353179,5.05E-05,0,0,0,0.030877901,0,0,5.05E-05,0.155297679,0.000857719,1
SRR5983370,0,0.00418702,0.301884159,0,0,0,0,0.000279135,0,0,0.528262387,0.000279135,0,0,0,0,0.001535241,0,0,0,0.162875087,0.000697837,1
SRR5983371,0,0.005823022,0.47124883,0,0,0,0,0,0,0,0.223042529,0.000207965,0,0,0,0,0.007486742,0,0,0,0.291878964,0.000311948,1
